Slovensko ime,Znanstveno ime,Užitnost,Čas rasti,Temp. prag (zrak),Mikorizni partner,Tip rastišča (Prehranjevanje),Tip tal (pH vrednost),Nevarnost zamenjave (Dvojnice),Vonj in okus,Sprememba barve mesa ob poškodbi,Shranjevanje in priprava,Višinski pas in značilna območja,Pogostost v Zgornji savinjski,Geološki mikro-teren (Zg. Savinjska),"Minimalna kumulativna vlaga (7 dni, mm)",Optimalni temperaturni pas (°C),Vpliv vetra/izsušitve,Gobarski indeks (Izračun),Indeks,Vir podatkov
Spremenljiva panjevka,Kuehneromyces mutabilis,Užitna,Apr – Nov,8 – 18 °C,,Razkraja les; raste v gostih šopih na štorih listavcev,Nevtralna tla,Robata smrtnica (Galerina marginata) – SMRTNO STRUPENA in raste v enakih šopih na lesu. Brez zanesljivega razlikovanja te vrste ne nabiraj.,,,,Nižine in sredogorje,Pogosta na štorih listavcev.,Vlažni gozdovi,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bleda mlečnica,Lactarius pallidus,Neužitna,Avg – Okt,10 – 18 °C,Bukev,Mikoriza; v tleh pod bukvami,Nevtralna do bazična tla,,,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Grda mlečnica,Lactarius turpis,Strupena,Avg – Okt,8 – 16 °C,Breza,"Mikoriza; v tleh pod brezami, pogosto v mahu",Kisla tla,"Temne sirovke – turpis je olivno črnikast in pekoč, velja za rakotvornega.",,,,Nižine in sredogorje,Pogosta pod brezami.,Kisla tla z brezami,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Žolčna golobica,Russula fellea,Neužitna,Avg – Okt,10 – 18 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Nevtralna do bazična tla,Bledorumena golobica (Russula ochroleuca) – fellea je izrazito pekoča in diši po jabolčnem kompotu.,,,,Sredogorje,Zelo pogosta v bukovju.,Apnenčasta bukovja,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kravja kolobarnica,Tricholoma vaccinum,Neužitna,Sep – Nov,6 – 14 °C,Smreka,Mikoriza; v tleh v smrekovih gozdovih,Kisla tla,"Rjava kolobarnica (Tricholoma ustale) – strupena; vaccinum ima kosmat, luskast klobuk.",,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Poprov goban,Chalciporus piperatus,Neužitna,Avg – Okt,10 – 18 °C,"Smreka, breza","Mikoriza; v tleh v iglastih gozdovih, pogosto ob mušnicah",Kisla tla,"Mladi gobani – piperatus je drobcen, z rdečkastimi cevkami in izrazito pekočim okusom.",,,,Vse višine,Pogost v iglastih gozdovih.,Kisla silikatna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Oranžna mlečnica,Lactarius aurantiacus,Neužitna,Sep – Nov,8 – 16 °C,Smreka,"Mikoriza; v tleh v smrekovih gozdovih, v mahu",Kisla tla,"Užitne sirovke – aurantiacus ima bel mleček, sirovke oranžnega.",,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Velika koprenka,Cortinarius praestans,Užitna,Sep – Okt,8 – 16 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih na apnencu,Bazična apnenčasta tla,Smrtno strupene koprenke (Cortinarius orellanus) – rod koprenk vsebuje smrtno strupene vrste. Nabiranje koprenk odsvetujemo brez določitve pri mikologu.,,,,Sredogorje,"Redka, vezana na ohranjena bukovja na apnencu.",Karbonatni masivi Golte in Menine,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kodrasti hrček,Helvella crispa,Pogojno užitna,Avg – Nov,8 – 16 °C,,Razkrajalka organskih ostankov; raste ob gozdnih poteh in robovih listnatih gozdov,Bazična apnenčasta tla,Pomladanski hrček (Gyromitra esculenta) – strupen. Vsi hrčki so surovi strupeni in jih je treba dolgo kuhati.,,,,Nižine in sredogorje,Pogost ob gozdnih poteh.,Apnenčasti gozdni robovi,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Navadni cepilistnik,Schizophyllum commune,Neužitna,Celotno leto,2 – 24 °C,,Razkraja les; drobni pahljačasti trosnjaki na odmrlih vejah in žaganem lesu,Nevtralna tla,,,,,Vse višine,Zelo pogost povsod na odmrlem lesu.,Vsi gozdovi,20-30,2-24,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Dišeči školjkar,Lentinellus cochleatus,Užitna,Avg – Nov,8 – 16 °C,,"Razkraja les; raste v šopih na štorih listavcev, diši po janežu",Nevtralna tla,,,,,Nižine in sredogorje,"Manj pogost, a redno prisoten na bukovih štorih.",Vlažna bukovja,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Hygrophorus poetarum,Hygrophorus poetarum,Užitna,Sep – Nov,8 – 16 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih na apnencu,Bazična apnenčasta tla,Druge svetle polževke – vse neškodljive.,,,,Sredogorje,"Redka, vezana na apnenčasta bukovja.",Karbonatni masivi,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Smrdljiva marelica,Lepiota cristata,Strupena,Jul – Nov,10 – 20 °C,,"Razkrajalka organskih ostankov; raste v travi, parkih in ob poteh",Nevtralna tla,Mladi dežniki (Macrolepiota) – marelice rodu Lepiota so drobne in med njimi so smrtno strupene vrste. Drobnih dežnikom podobnih gob ne nabiraj.,,,,Nižine in sredogorje,Pogosta ob poteh in v parkih.,Humusna tla,20-30,10-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Dišeča polževka,Hygrophorus agathosmus,Užitna,Sep – Nov,4 – 12 °C,Smreka,Mikoriza; v tleh v smrekovih gozdovih,Kisla do nevtralna tla,Druge sive polževke – agathosmus diši po grenkih mandljih.,,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,25-35,4-12,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sivkasta kolobarnica,Tricholoma sciodes,Neužitna,Sep – Nov,6 – 14 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih,Nevtralna do bazična tla,Pegasta kolobarnica (Tricholoma pardinum) – strupena in mnogo večja; sciodes je grenka.,,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Koreninasta grenivka,Hebeloma radicosum,Neužitna,Sep – Nov,8 – 16 °C,Bukev,"Mikoriza; v tleh, z dolgo koreniko iz rovov malih sesalcev",Nevtralna do bazična tla,Druge grenivke – vse neužitne ali strupene; radicosum diši po marcipanu.,,,,Sredogorje,Manj pogosta.,Apnenčasta bukovja,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Mesnata uhljevka,Guepinia helvelloides,Užitna,Jun – Okt,10 – 20 °C,,Razkraja les; želatinast rožnat trosnjak na zakopanem lesu iglavcev,Kisla tla,Bezgova uhljevka (Auricularia auricula-judae) – prav tako užitna.,,,,Sredogorje in gorske lege,"Manj pogosta, a značilna za gorske gozdove.",Kisla silikatna tla,25-35,10-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zorna golobica,Russula aurora,Užitna,Jul – Okt,12 – 20 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna tla,"Bljuvna golobica (Russula emetica) – pekoča; aurora je blaga, z rožnato belkastim klobukom.",,,,Nižine in sredogorje,Manj pogosta.,Nevtralna gozdna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Progasta čeladica,Mycena galericulata,Neužitna,Apr – Dec,4 – 18 °C,,Razkraja les; raste v šopih na štorih in vejah listavcev,Nevtralna tla,,,,,Vse višine,Zelo pogosta vse leto.,Vsi gozdovi,20-30,4-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kijasta prašnica,Lycoperdon excipuliforme,Užitna,Avg – Nov,8 – 18 °C,,Razkrajalka organskih ostankov; raste na gozdnih tleh in travnikih,Nevtralna tla,"Mlade bele mušnice – prerez mora biti povsem bel in enoten. Užitna le, dokler je meso belo.",,,,Vse višine,Pogosta na gozdnih tleh.,Humusna gozdna tla,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Albatrellopsis confluens,Albatrellopsis confluens,Užitna,Avg – Okt,8 – 16 °C,Smreka,"Mikoriza; v tleh v gorskih smrekovih gozdovih, trosnjaki pogosto zraščeni",Kisla do nevtralna tla,Ovčji ovčar (Albatrellus ovinus) – prav tako užiten.,,,,Gorske lege,"Manj pogost, v gorskem smrekovju.",Kisla silikatna tla gorskih smrekovij,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Mehurjasta prašnica,Bovistella utriformis,Užitna,Jul – Okt,10 – 20 °C,,Razkrajalka travinja; raste na pašnikih in planinskih travnikih,Nevtralna tla,Mlade bele mušnice – prerez mora biti povsem bel. Užitna le mlada.,,,,Gorske lege in planine,Pogosta na planinskih pašnikih Golte in Menine.,Planinski pašniki,20-30,10-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Lažna lisička,Hygrophoropsis aurantiaca,Neužitna,Avg – Dec,4 – 16 °C,,Razkrajalka stelje; raste v iglicah in na trhlem lesu iglavcev,Kisla tla,"Navadna lisička (Cantharellus cibarius) – prava lisička ima gube, ne pravih lističev, in je bledo rumena; lažna je živo oranžna z mehkimi, vilastimi lističi.",,,,Vse višine,Zelo pogosta v smrekovih gozdovih.,Kisla silikatna tla,20-30,4-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Razpokana vlaknarica,Pseudosperma rimosum,Strupena,Jun – Okt,12 – 20 °C,"Bukev, hrast, lipa",Mikoriza; v tleh ob gozdnih poteh in robovih,Nevtralna do bazična tla,Miška (Tricholoma scalpturatum) in mokovka – vlaknarice vsebujejo muskarin in so nevarne. Radialno razpokan klobuk je znak rodu.,,,,Nižine in sredogorje,Pogosta ob gozdnih poteh.,Nevtralna gozdna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Zelena grintavka,Stropharia aeruginosa,Neužitna,Avg – Nov,8 – 16 °C,,"Razkrajalka organskih ostankov; raste na gozdnih tleh, ob poteh in na travnikih",Nevtralna tla,"Janeževa livka (Clitocybe odora) – ta je zelenkasta, a diši po janežu in nima obročka.",,,,Nižine in sredogorje,Pogosta ob poteh.,Humusna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Laeticutis cristata,Laeticutis cristata,Pogojno užitna,Avg – Okt,10 – 18 °C,"Bukev, smreka",Mikoriza; v tleh v gorskih gozdovih,Kisla do nevtralna tla,Ovčji ovčar (Albatrellus ovinus) – užiten; cristata je zelenkasta in grenkobna.,,,,Gorske lege,Manj pogosta.,Gorska gozdna tla,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Ploščata pološčenka,Ganoderma applanatum,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; velik trajni trosnjak na deblih in štorih bukve,Nevtralna tla,,,,,Nižine in sredogorje,Pogosta na starih bukvah.,Bukovi gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kafrova mlečnica,Lactarius camphoratus,Pogojno užitna,Avg – Okt,10 – 18 °C,"Smreka, bukev","Mikoriza; v tleh, pogosto v mahu",Kisla tla,Druge drobne rjave mlečnice – camphoratus diši po kafri oziroma po posušeni zelišči; uporablja se kot dišava.,,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Trpka kolobarnica,Tricholoma acerbum,Neužitna,Sep – Nov,8 – 16 °C,"Hrast, bukev",Mikoriza; v tleh v listnatih gozdovih,Bazična apnenčasta tla,Druge svetle kolobarnice – acerbum je trpka in ima nagrbančen rob klobuka.,,,,Nižine in sredogorje,Manj pogosta.,Karbonatna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Snežnobela vlažnica,Cuphophyllus virgineus,Užitna,Sep – Nov,4 – 14 °C,,Razkrajalka travinja; raste na neognojenih travnikih in pašnikih,Nevtralna tla,"Bele livke (Clitocybe dealbata) – smrtno nevarne; vlažnica ima debele, voščene, redke lističe.",,,,Gorske lege in planine,Pogosta na planinskih travnikih.,Planinski pašniki,20-30,4-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Grenki bočnik,Panellus stipticus,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; drobni trosnjaki v skupinah na štorih listavcev,Nevtralna tla,Bukov ostrigar (Pleurotus ostreatus) – ta je velik in mesnat; stipticus je drobcen in trpko grenak.,,,,Nižine in sredogorje,Pogost na hrastovih in bukovih štorih.,Listnati gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Hobotničasta mrežnica,Clathrus archeri,Neužitna,Jul – Okt,12 – 22 °C,,"Razkrajalka organskih ostankov; raste na zastirki, v parkih in na gozdnih robovih","Nevtralna, humusna tla","Mlado 'jajce' je podobno prašnici – prerez pokaže rdeče krake v želatini. Tujerodna, priseljena vrsta.",,,,Nižine in sredogorje,"Manj pogosta, a se širi.",Humusna tla in zastirka,20-30,12-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Kijasti bunkar,Clavariadelphus pistillaris,Pogojno užitna,Avg – Okt,8 – 16 °C,Bukev,Mikoriza; v tleh v bukovih gozdovih na apnencu,Bazična apnenčasta tla,,,,,Sredogorje,"Manj pogost, značilen za apnenčasta bukovja.",Karbonatni masivi Golte in Menine,25-35,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Heterobasidion annosum,Heterobasidion annosum,Neužitna,Celotno leto,2 – 20 °C,,"Razkraja les; trosnjak ob dnu debel in na koreninah iglavcev, pomemben gozdni patogen",Kisla tla,,,,,Vse višine,Pogost v smrekovih sestojih.,Kisla silikatna tla,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Koničasta vlažnica,Hygrocybe conica,Neužitna,Avg – Nov,6 – 16 °C,,Razkrajalka travinja; raste na neognojenih travnikih in pašnikih,Nevtralna tla,Druge vlažnice – conica na dotik in s starostjo počrni.,,,,Gorske lege in planine,Pogosta na planinskih travnikih.,Planinski pašniki,20-30,6-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Puhasta ploskocevka,Trametes pubescens,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; tanki beli trosnjaki na vejah listavcev,Nevtralna tla,,,,,Nižine in sredogorje,Pogosta na odmrlih vejah.,Listnati gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Navadna koprenka,Cortinarius trivialis,Neužitna,Avg – Okt,10 – 18 °C,"Vrba, topol, breza",Mikoriza; v tleh v vlažnih logih ob rekah,Vlažna tla,Smrtno strupene koprenke (Cortinarius orellanus) – rod koprenk vsebuje smrtno strupene vrste in ga ne nabiramo.,,,,Nižine in doline ob rekah,Pogosta v logih ob Savinji in Dreti.,Rečni logi in obrežja,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Česnova nitka,Mycetinis alliaceus,Pogojno užitna,Avg – Nov,8 – 16 °C,,"Razkrajalka stelje; raste na odpadlem bukovem listju in vejicah, močan vonj po česnu",Nevtralna tla,,,,,Sredogorje,"Pogosta v bukovju, uporablja se kot dišava.",Bukova stelja,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Travniška vitezovka,Marasmius oreades,Užitna,Maj – Nov,12 – 22 °C,,Razkrajalka travinja; raste v vrstah in čarovniških krogih na travnikih in ob poteh,Nevtralna tla,"Bela livka (Clitocybe dealbata) – smrtno nevarna in raste na istih travnikih. Vitezovka ima žilav bet in redke, široke lističe.",,,,Nižine in sredogorje,Zelo pogosta na travnikih po vsej dolini.,Travniki in gozdni robovi,15-25,12-22,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Storžasti luskarin,Strobilomyces strobilaceus,Užitna,Jul – Okt,12 – 20 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih in mešanih gozdovih,Kisla do nevtralna tla,"Nezamenljiv – črno kosmate luske na klobuku so značilne. Meso ob prerezu pordeči, nato počrni.",,,,Sredogorje,"Manj pogost, a značilen za bukovja doline.",Kisla in nevtralna tla,25-35,12-20,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Votlobetna lupljivka,Suillus cavipes,Užitna,Sep – Nov,6 – 14 °C,Izključno macesen,Mikoriza; v tleh pod macesni,Kisla do nevtralna tla,"Macesnova lupljivka (Suillus grevillei) – prav tako užitna; cavipes ima votel bet in suh, kosmat klobuk.",,,,Gorske lege,Pogosta pod macesni v višjih legah.,Gorska tla z macesnom,20-30,6-14,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Poljski dežnik,Macrolepiota excoriata,Užitna,Jul – Okt,12 – 20 °C,,Razkrajalka travinja; raste na travnikih in pašnikih,Nevtralna tla,"Strupena rdečeča dežnica (Chlorophyllum brunneum) in drobne marelice (Lepiota) – dežnikov z rdečečim mesom in tistih, manjših od dlani, ne nabiraj.",,,,Nižine in sredogorje,Pogost na travnikih.,Travniki in pašniki,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Cystoderma amianthinum,Cystoderma amianthinum,Neužitna,Avg – Nov,6 – 16 °C,,Razkrajalka stelje; raste v mahu in iglicah,Kisla tla,,,,,Sredogorje in gorske lege,Pogosta v mahu smrekovih gozdov.,Kisla silikatna tla,20-30,6-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Jetrasti ozobnik,Fistulina hepatica,Užitna,Avg – Okt,12 – 20 °C,,Razkraja les; mesnat rdeč trosnjak ob dnu starih hrastov in kostanjev,Kisla do nevtralna tla,Nezamenljiv – videz surovega mesa in rdeč sok sta značilna.,,,,Nižine in gričevje,"Manj pogost, vezan na stare hraste.",Hrastovi gozdovi,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Hrastova labirintnica,Daedalea quercina,Neužitna,Celotno leto,2 – 20 °C,,"Razkraja les; trajni trosnjak na hrastovih štorih, s labirintastimi porami",Nevtralna tla,,,,,Nižine in gričevje,Pogosta na hrastovih štorih.,Hrastovi gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Polkrvava sirovka,Lactarius semisanguifluus,Užitna,Sep – Nov,8 – 16 °C,Bor,Mikoriza; v tleh pod bori,Kisla do bazična tla,"Užitna sirovka (Lactarius deliciosus) – prav tako užitna; semisanguifluus ima mleček, ki iz oranžnega prehaja v vinsko rdeč.",,,,Nižine in sredogorje,"Manj pogosta, vezana na borove sestoje.",Tla borovih sestojev,20-30,8-16,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bela krhkotrosovka,Candolleomyces candolleanus,Neužitna,Maj – Okt,12 – 20 °C,,Razkraja les; raste v šopih ob štorih in zakopanem lesu listavcev,Nevtralna tla,"Robata smrtnica (Galerina marginata) – smrtno strupena, raste v podobnih šopih. Krhkotrosovk ne nabiramo.",,,,Nižine in sredogorje,Pogosta ob štorih in v parkih.,Vlažni gozdovi in parki,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bradavičasti dežnik,Macrolepiota mastoidea,Užitna,Avg – Okt,12 – 20 °C,,"Razkrajalka organskih ostankov; raste na gozdnih robovih, jasah in travnikih",Nevtralna tla,Strupena rdečeča dežnica (Chlorophyllum brunneum) – meso te ob prerezu pordeči. Drobnih marelic rodu Lepiota ne nabiraj.,,,,Nižine in sredogorje,Pogost na gozdnih robovih.,Gozdni robovi in jase,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Gostolistna golobica,Russula densifolia,Neužitna,Jul – Okt,12 – 20 °C,"Bukev, smreka",Mikoriza; v tleh v listnatih in iglastih gozdovih,Kisla do nevtralna tla,"Črnikasta golobica (Russula nigricans) – densifolia ima gostejše lističe in meso, ki pordeči, nato počrni.",,,,Sredogorje,Pogosta.,Kisla in nevtralna tla,20-30,12-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Koreninasti postavnež,Caloboletus radicans,Neužitna,Jul – Sep,16 – 24 °C,"Hrast, bukev",Mikoriza; v tleh v toplih listnatih gozdovih,Bazična apnenčasta tla,"Užitni gobani – radicans je izrazito grenek, z belkastim klobukom in modrečim mesom.",,,,Nižine in gričevje,"Manj pogost, na toplih apnenčastih legah.",Karbonatna tla toplih leg,20-30,16-24,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rakova golobica,Russula xerampelina,Užitna,Avg – Okt,10 – 18 °C,"Smreka, bor",Mikoriza; v tleh v iglastih gozdovih,Kisla tla,"Druge temne golobice – xerampelina zadiši po rakih ali morski hrani, zlasti ob starosti.",,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,10-18,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Grebenasta koralovka,Clavulina coralloides,Pogojno užitna,Avg – Nov,8 – 16 °C,,Razkrajalka stelje; raste na gozdnih tleh ob poteh,Nevtralna tla,,,,,Vse višine,Pogosta ob gozdnih poteh.,Gozdna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Siva lupljivka,Suillus viscidus,Užitna,Sep – Nov,6 – 14 °C,Izključno macesen,Mikoriza; v tleh pod macesni,Bazična apnenčasta tla,Druge lupljivke – vse užitne; viscidus je sivkasto umazano bela.,,,,Gorske lege,"Manj pogosta, pod macesni.",Karbonatna tla z macesnom,20-30,6-14,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Ožgana ploskocevka,Bjerkandera adusta,Neužitna,Celotno leto,2 – 20 °C,,Razkraja les; tanki trosnjaki s sivo črnim robom na štorih listavcev,Nevtralna tla,,,,,Nižine in sredogorje,Zelo pogosta na bukovih štorih.,Listnati gozdovi,20-30,2-20,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Bridka golobica,Russula sardonia,Neužitna,Avg – Nov,8 – 16 °C,Bor,Mikoriza; v tleh pod bori,"Kisla, peščena tla","Užitne rdeče golobice – sardonia je izrazito pekoča, z rumenkastimi lističi.",,,,Nižine in sredogorje,Pogosta v borovih sestojih.,Kisla peščena tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Rožnati slinar,Gomphidius roseus,Užitna,Sep – Nov,8 – 16 °C,Bor,"Mikoriza; v tleh pod bori, vedno ob kravji lupljivki","Kisla, peščena tla",Veliki slinar (Gomphidius glutinosus) – prav tako užiten.,,,,Nižine in sredogorje,"Redek, vezan na borove sestoje s kravjo lupljivko.",Kisla peščena tla borovij,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Lyophyllum loricatum,Lyophyllum loricatum,Užitna,Avg – Nov,8 – 18 °C,,Razkrajalka organskih ostankov; raste v šopih ob poteh in na nasutjih,Nevtralna tla,"Strupene rdečelistke in koprenke, ki rastejo v šopih – loricatum ima hrustljav, trd klobuk in bel trosni prah.",,,,Nižine in sredogorje,Manj pogost.,Nasutja in gozdni robovi,20-30,8-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Queletova golobica,Russula queletii,Neužitna,Avg – Okt,8 – 16 °C,Smreka,Mikoriza; v tleh v smrekovih gozdovih,Kisla tla,Užitne vijoličaste golobice – queletii je pekoča in diši po kompotu.,,,,Sredogorje in gorske lege,Pogosta v smrekovju.,Kisla silikatna tla,20-30,8-16,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Friesova lisička,Cantharellus friesii,Užitna,Jul – Okt,10 – 18 °C,Bukev,"Mikoriza; v tleh v bukovih gozdovih, pogosto v mahu",Kisla do nevtralna tla,Navadna lisička (Cantharellus cibarius) – prav tako užitna; friesii je drobnejša in oranžnejša. Lažna lisička (Hygrophoropsis aurantiaca) ima prave lističe.,,,,Sredogorje,"Redka, drobna vrsta bukovij.",Kisla in nevtralna tla bukovij,25-35,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Sajasta mlečnica,Lactarius fuliginosus,Pogojno užitna,Avg – Okt,10 – 18 °C,"Bukev, hrast",Mikoriza; v tleh v listnatih gozdovih,Nevtralna do bazična tla,"Črna mlečnica (Lactarius lignyotus) – prav tako pogojno užitna; fuliginosus ima žametno rjav klobuk in mleček, ki porozi.",,,,Sredogorje,Pogosta v bukovju.,Apnenčasta bukovja,20-30,10-18,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Jelkova sirovka,Lactarius salmonicolor,Užitna,Sep – Nov,6 – 14 °C,Izključno jelka,Mikoriza; v tleh pod jelkami,Nevtralna do bazična tla,"Smrekova sirovka (Lactarius deterrimus) – prav tako užitna; salmonicolor ima lososovo oranžen mleček, ki ne pozeleni takoj.",,,,Sredogorje in gorske lege,Pogosta v jelovo-bukovih gozdovih doline.,Karbonatna tla jelovij,20-30,6-14,,,da,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
Butyriboletus fechtneri,Butyriboletus fechtneri,Užitna,Jul – Sep,16 – 24 °C,"Bukev, hrast",Mikoriza; v tleh v toplih listnatih gozdovih na apnencu,Bazična apnenčasta tla,"Vražji goban (Rubroboletus satanas) – strupen, z rdečimi cevkami; fechtneri ima rumene cevke in srebrnkasto siv klobuk.",,,,Nižine in gričevje,"Redek, vezan na topla apnenčasta bukovja.",Karbonatna tla toplih leg,20-30,16-24,,,ne,GBIF (pojavljanje v Sloveniji) + strokovna literatura; ni terensko preverjeno
